Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Family
sharp point fluvellin,Kickxia elatine,,non-native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
broad-leaved mudwort,Limosella acaulis,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
sticky monkey flower,Mimulus aurantiacus,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
scarlet monkeyflower,Mimulus cardinalis,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
red bush monkeyflower,Mimulus puniceus,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
bee plant,Scrophularia californica,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
water speedwell,Veronica anagallis-aquatica,,non-native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
purslane speedwell,Veronica peregrina ssp. xalapensis,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
johnny-nip,Castilleja ambigua,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
many flower tobacco,Nicotiana acuminata var. multiflora,,non-native,,,USFWS / EcoData Plant_List.pdf,Solanaceae
tree tobacco,Nicotiana glauca,,non-native,,,USFWS / EcoData Plant_List.pdf,Solanaceae
black nightshade,Solanum nigrum,,non-native,,,USFWS / EcoData Plant_List.pdf,Solanaceae
buffalobur,Solanum rostratum,,non-native,,,USFWS / EcoData Plant_List.pdf,Solanaceae
tamarisk,Tamarix parviflora,,non-native,,,USFWS / EcoData Plant_List.pdf,Tamaricaceae
cattail,Typha latifolia,,non-native,,,USFWS / EcoData Plant_List.pdf,Typhaceae
dwarf nettle,Urtica urens,,non-native,,,USFWS / EcoData Plant_List.pdf,Urticaceae
red valerian,Centranthus ruber,,non-native,,,USFWS / EcoData Plant_List.pdf,Valerianaceae
puncturevine,Tribulus terrestris,,non-native,,,USFWS / EcoData Plant_List.pdf,Zygophyllaceae
Spanish banner,Yucca,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
