Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Family
California buckeye,Aesculus californica,,native,,,USFWS / EcoData Plant_List.pdf,Hippocastanaceae
Great Valley phacelia,Phacelia ciliata,,native,,,USFWS / EcoData Plant_List.pdf,Hydrophyllaceae
Blue-eyed grass,Sisyrinchium bellum,,native,,,USFWS / EcoData Plant_List.pdf,Iridaceae
golden-eyed grass,Sisyrinchium californicum,,native,,,USFWS / EcoData Plant_List.pdf,Iridaceae
quillwort,Isoetes sp.,,native,,,USFWS / EcoData Plant_List.pdf,Isoetaceae
seaside toad rush,Juncus ambiguus,,native,,,USFWS / EcoData Plant_List.pdf,Juncaceae
Baltic rush,Juncus balticus,,native,,,USFWS / EcoData Plant_List.pdf,Juncaceae
kellogg dwarf rush,Juncus kelloggii,,native,,,USFWS / EcoData Plant_List.pdf,Juncaceae
flowering-quillwort,Lilaea scilloides,,native,,,USFWS / EcoData Plant_List.pdf,Juncaginaceae
henbit,Lamium amplexicaule,,non-native,,,USFWS / EcoData Plant_List.pdf,Lamiaceae
white horehound,Marrubium vulgare,,non-native,,,USFWS / EcoData Plant_List.pdf,Lamiaceae
black sage,Salvia mellifera,,native,,,USFWS / EcoData Plant_List.pdf,Lamiaceae
hummingbird Sage,Salvia spathacea,,native,,,USFWS / EcoData Plant_List.pdf,Lamiaceae
hedge nettle,Stachys ajugoides,,native,,,USFWS / EcoData Plant_List.pdf,Lamiaceae
desert agave,Agave deserti,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
harvest brodiaea,Brodiaea elegans,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
dwarf brodiaea,Brodiaea terrestris ssp. terrestris,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
soap plant,Chlorogalum pomeridianum,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
blue dicks,Dichelostemma capitatum,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
common muilla,Muilla maritima,,native,,,USFWS / EcoData Plant_List.pdf,Liliaceae
Hyssop's loosestrife,Lythrum hyssopifolium,,non-native,,,USFWS / EcoData Plant_List.pdf,Lythraceae
Fremont mallow,Malacothamnus fremontii,,native,,,USFWS / EcoData Plant_List.pdf,Malvaceae
common mallow,Malva neglecta,,non-native,,,USFWS / EcoData Plant_List.pdf,Malvaceae
bull mallow,Malva nicaeensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Malvaceae
cheeseweed mallow,Malva Parviflora,,non-native,,,USFWS / EcoData Plant_List.pdf,Malvaceae
alkali mallow,Malvella leprosa,,native,,,USFWS / EcoData Plant_List.pdf,Malvaceae
pillwort,Pilularia americana,,native,,,USFWS / EcoData Plant_List.pdf,Marsiliaceae
edible fig,Ficus carica,,non-native,,,USFWS / EcoData Plant_List.pdf,Moraceae
myoporum,Myoporum laetum,,non-native,,,USFWS / EcoData Plant_List.pdf,Myoporaceae
red gum,Eucalyptus camaldulensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Myrtaceae
Tasmanian blue gum,Eucalyptus globulus,,non-native,,,USFWS / EcoData Plant_List.pdf,Myrtaceae
silver dollar gum,Eucalyptus polyanthemos,,non-native,,,USFWS / EcoData Plant_List.pdf,Myrtaceae
western Australian floodedgum,Eucalyptus rudis,,non-native,,,USFWS / EcoData Plant_List.pdf,Myrtaceae
olive,Olea europaea,,non-native,,,USFWS / EcoData Plant_List.pdf,Oleaceae
long-leaved suncup,Camissonia subacaulis,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
willow herb,Epilobium brachycarpum,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
California fuchsia,Epilobium canum,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
fringed willowherb,Epilobium ciliatum,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
desert willow herb,Epilobium minutum,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
sun cup,Camissonia ovata,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
Hooker's evening primrose,Oenothera elata ssp. hookeri,,native,,,USFWS / EcoData Plant_List.pdf,Onagraceae
bermuda buttercup,Oxalis pes-caprae,,non-native,,,USFWS / EcoData Plant_List.pdf,Oxalidaceae
Western bleeding heart,Dicentra formosa,,native,,,USFWS / EcoData Plant_List.pdf,Papaveraceae
California poppy,Eschscholzia californica,,native,,,USFWS / EcoData Plant_List.pdf,Papaveraceae
fumitory,Fumaria officinalis,,non-native,,,USFWS / EcoData Plant_List.pdf,Papaveraceae
cutleaf plantain,Plantago coronopus,,non-native,,,USFWS / EcoData Plant_List.pdf,Plantaginaceae
annual coast plantago,Plantago elongata,,native,,,USFWS / EcoData Plant_List.pdf,Plantaginaceae
California plantain,Plantago erecta,,native,,,USFWS / EcoData Plant_List.pdf,Plantaginaceae
english plantain,Plantago lanceolata,,non-native,,,USFWS / EcoData Plant_List.pdf,Plantaginaceae
westernsycamore,Platanus racemosa,,native,,,USFWS / EcoData Plant_List.pdf,Platanaceae
California sea lavender,Limonium californicum,,native,,,USFWS / EcoData Plant_List.pdf,Plumbaginaceae
Algerian sea lavendar,Limonium ramosissimum,,non-native,,,USFWS / EcoData Plant_List.pdf,Plumbaginaceae
Cape leadwort,Plumbago auriculata,,non-native,,,USFWS / EcoData Plant_List.pdf,Plumbaginaceae
spike bentrgrass,Agrostis exarata*,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
Pacific foxtail,Alopecurus saccatus,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
giant reed,Arundo donax,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
slender wild oat,Avena barbata,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
wild oat,Avena fatua,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
California brome,Bromus carinatus var. carinatus,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
rescue grass,Bromus catharticus,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
soft brome,Bromus hordeaceus,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
red brome,Bromus madritensis ssp. Rubens,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
downy brome,Bromus tectorum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
pampasgrass,Cortaderia selloana,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
swamp pricklegrass,Crypsis schoenoides,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
bermudagrass,Cynodon dactylon,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
orchard grass,Dactylis glomerata,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
California oatgrass,Danthonia californica,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
