Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Abundance Codes,Nests Locally
Red-necked Phalarope,Phalaropus lobatus,abundant,native,,,USFWS ServCat bird checklist 2008,c a a,
Red Phalarope,Phalaropus fulicaria,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Sandhill Crane,Grus canadensis,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Parasitic Jaeger,Stercorarius parasiticus,occasional,native,,,USFWS ServCat bird checklist 2008,o,
Black-bellied Plover,Pluvialis squatarola,abundant,native,,,USFWS ServCat bird checklist 2008,c u a c,
Franklin's Gull,Larus pipixcan,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
American Golden-Plover,Pluvialis dominica,rare,native,,,USFWS ServCat bird checklist 2008,r,
Bonaparte's Gull,Larus Philadelphia,common,native,,,USFWS ServCat bird checklist 2008,c o c c,
Pacific Golden-Plover,Pluvialis fulva,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Heermann's Gull,Larus heermanni,rare,native,,,USFWS ServCat bird checklist 2008,r,
Snowy Plover,Anarhynchus nivosus,nests locally,,,,USFWS ServCat bird checklist 2008,o o u u,yes
Mew Gull,Larus canus,common,native,,,USFWS ServCat bird checklist 2008,u u c,
Semipalmated Plover,Charadrius semipalmata,common,native,,,USFWS ServCat bird checklist 2008,c u c u,
Ring-billed Gull,Larus delawarensis,abundant,native,,,USFWS ServCat bird checklist 2008,c u a a,
Killdeer,Charadrius vociferus,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
California Gull,Larus californicus,nests locally,native,,,USFWS ServCat bird checklist 2008,a a a a,yes
Herring Gull,Larus argentatus,abundant,native,,,USFWS ServCat bird checklist 2008,a r a a,
Thayer's Gull,Larus thayeri,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u,
Black-necked Stilt,Himantopus mexicanus,nests locally,native,,,USFWS ServCat bird checklist 2008,c c a a,yes
Western Gull,Larus occidentalis,nests locally,native,,,USFWS ServCat bird checklist 2008,c u c c,yes
American Avocet,Recurvirostra americana,nests locally,native,,,USFWS ServCat bird checklist 2008,c c a a,yes
Glaucous-winged Gull,Larus glaucescens,common,native,,,USFWS ServCat bird checklist 2008,u o c c,
Glaucous Gull,Larus hyperboreus,occasional,native,,,USFWS ServCat bird checklist 2008,r o,
Sabine's Gull,Xena sabini,rare,native,,,USFWS ServCat bird checklist 2008,r,
Caspian Tern,Sterna caspia,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c,yes
Western Wood-Pewee,Contopus sordidulus,occasional,native,,,USFWS ServCat bird checklist 2008,o,
Elegant Tern,Sterna elegans,uncommon,native,,,USFWS ServCat bird checklist 2008,r u,
Willow Flycatcher,Empidonax traillii,occasional,native,,,USFWS ServCat bird checklist 2008,o,
Common Tern,Sterna hirundo,occasional,native,,,USFWS ServCat bird checklist 2008,r o,
Pacific-slope Flycatcher,Empidonax difficilis,uncommon,native,,,USFWS ServCat bird checklist 2008,u,
Forster's Tern,Sterna forsteri,nests locally,native,,,USFWS ServCat bird checklist 2008,a a a u,yes
